3566,1885
2520,2031
3163,1092
3368,3718
2030,607
3375,1560
414,2599
906,2753
1273,3738
3029,3024
2683,3541
2478,830
2509,3610
404,1145
2877,1396
3335,833
2732,805
2607,2443
3705,565
3337,173
1686,2003
1686,3021
1055,404
2823,387
162,3629
2373,3907
1093,1147
417,1601
207,1721
1315,3198
1298,3843
1544,1999
3331,2057
3568,2543
1300,1803
2799,471
1414,1041
1315,2666
779,699
1570,3639
2468,3660
865,2945
2859,1673
674,3019
1885,2020
2397,3719
1733,2397
2240,461
1708,173
3319,986
1712,1217
1634,1097
3600,1884
1244,373
3426,1402
2259,1804
1292,3788
2178,2836
1345,3789
22,3552
2000,2551
2275,3732
3856,2659
3260,2551
2218,1303
1212,2748
2031,1642
910,3367
1019,960
1357,3561
2722,1450
581,2679
2031,61
732,293
3610,556
308,2817
3740,2831
668,3646
2915,2567
16,2264
3539,1312
3221,3426
83,801
3693,207
3091,2683
2864,1046
335,1999
982,2094
1439,2347
992,1400
2057,1786
2551,715
474,115
2804,1429
864,3450
1507,2820
3818,3635
1450,3752
221,2249
2523,2817
2482,2121
3561,1367
3907,626
1836,1762
2731,2356
2475,729
3304,3004
3914,1107
140,1
3610,2425
459,2891
3463,571
905,2332
2264,2703
2720,732
18,2213
3093,218
2179,1792
1810,3862
564,367
1442,261
959,3801
1477,2507
210,3543
2310,1711
401,2423
1810,1686
3405,1058
3195,2423
207,3144
2183,1195
2711,1099
3669,212
1555,1513
2093,731
58,146
2122,3046
1006,1712
1992,1456
3317,786
1718,1288
3587,251
2461,2623
3018,2922
3415,3345
1383,2735
3891,2507
1340,1573
1239,1020
2462,776
2993,1298
551,1503
1246,674
29,1743
2130,2701
1327,3075
2533,2385
94,3031
1094,1355
2391,1793
1638,523
1577,1800
1885,2218
1780,1911
3243,3197
2691,2956
2922,3345
2515,3481
2972,3248
1604,2031
180,100
779,3624
3260,855
622,2578
1538,1317
2501,3433
2950,1999
1062,3019
2874,1454
2018,3228
2600,417
1176,78
2922,3756
3693,3375
1793,1147
1269,3711
254,1553
3474,2102
2057,1882
2364,1796
2543,3738
1003,3362
2735,1991
3789,151
1885,2080
732,1777
1099,677
1400,472
3493,2828
639,3496
1365,1428
1127,2106
1130,2526
3752,707
3657,1008
3752,1750
3496,694
2443,12
660,3272
3641,313
1941,441
2826,1792
559,2722
502,1686
3072,2249
2218,2413
2548,737
2237,3749
1396,3662
3794,1153
55,2445
2276,1452
709,3158
2639,2922
3482,3408
3362,928
2444,385
1938,1398
3073,2444
394,868
2856,3304
2617,3738
1195,3405
2435,3431
2845,1786
2178,1786
427,2591
3105,2792
2208,2264
862,415
1120,1825
2435,3718
3480,107
464,3149
3526,181
1638,3623
1764,2475
948,384
1503,3489
740,2748
740,1195
1507,2218
2180,1364
2153,3422
1251,2272
2367,1085
1556,3367
1019,342
3634,2255
743,836
3502,3567
801,2781
1272,3875
1324,2776
3763,3035
3415,2387
3696,3718
3893,1310
901,2218
1794,937
2730,3646
737,2922
1810,346
1980,429
3068,2344
67,1836
2251,1644
994,2614
1388,317
1310,3324
1789,1931
3192,1783
1692,3862
2768,1911
373,2196
1181,3703
1391,2655
2270,2312
1926,66
2691,973
3870,1320
2776,2159
2102,552
3333,3885
1685,1391
3610,1619
1216,684
2774,1255
2300,1922
2889,2804
2106,1550
2935,63
1886,3609
78,3263
2353,118
737,3002
170,3580
1580,49
2109,3058
735,2899
3410,1170
3815,3747
3368,3728
2772,3295
449,58
2144,1160
3363,3507
2531,3044
214,2894
830,1786
362,3490
3255,803
229,1170
3610,2078
1050,1400
3543,274
2843,719
2344,1795
1107,2423
3280,699
839,754
3254,16
3833,177
3700,937
1319,2728
2072,636
491,2597
2684,637
1952,543
2509,3646
3046,283
3082,3243
1445,2178
735,2513
2007,2645
751,1338
2859,2922
1059,1708
3075,1127
2169,299
2935,3240
350,2520
402,522
1717,58
3378,1194
2003,2735
31,1919
995,3848
2748,654
472,1530
130,1763
2915,3765
2551,3415
3813,3824
1824,2009
2507,1279
3375,2845
1298,2071
3131,490
411,417
2730,3170
186,1959
3872,539
571,2910
3590,2450
2313,1159
3356,3097
840,2610
616,731
3106,1383
2659,2344
3539,851
1944,3486
433,1503
1363,2218
3356,2971
2025,3405
1344,2705
3595,3356
2926,732
2655,2756
2163,788
2793,404
2275,1314
1364,3090
2731,1701
2153,3064
2722,1510
2880,1320
2242,2093
1150,310
2695,3156
1859,154
140,1966
204,3412
219,3288
2731,1429
2180,1387
2618,1792
3191,571
490,3286
1684,1113
2731,1544
2791,3587
1980,3870
1363,3013
1062,1219
1518,439
1222,801
142,3368
2837,1310
3089,2823
3813,2650
2922,396
2584,779
2661,3773
3889,1137
59,2185
546,2842
2762,602
1551,2907
1875,2788
2619,2069
1980,3598
3553,2724
2227,1996
865,1608
507,3891
1649,2748
166,383
2943,1246
3711,801
2057,3788
2903,747
2922,3609
3715,55
3443,3732
1940,111
2273,3146
1083,2631
3082,1909
3518,1829
478,417
2118,3368
1748,2920
3019,3601
3019,1224
1259,3813
3023,78
2305,517
2712,3019
17,2536
1668,361
2635,729
2130,1097
3407,1003
2826,3639
2575,3595
2720,1712
760,833
3192,3807
186,3002
1390,699
1500,1549
779,987
1933,718
3295,1003
3082,3164
642,2083
2538,1306
1938,782
2870,1709
2038,399
2843,1672
2237,215
282,632
3131,297
2547,2098
3692,3251
3410,3105
365,3190
59,1520
1300,1897
21,2804
1332,1126
1911,178
3471,1107
2551,1414
2460,162
1882,3272
1107,529
3547,2523
1530,3498
1477,167
2410,3725
1227,2072
1344,1522
2993,2502
3228,2972
3226,1836
2031,552
1522,1744
765,2855
283,2158
3727,3924
1341,2815
130,3696
56,3190
252,1003
3740,694
913,2623
860,3728
746,445
362,3125
151,1790
1996,3034
3405,864
3156,453
1719,2069
1530,393
2025,666
2661,2821
408,763
3311,801
1493,219
2183,866
1094,1999
3870,1477
